smiles,QED,Rings,AromaticRings,FractionCSP3,Lipinski_pass,Ro5_viol,MW,LogP,HBD,HBA,Veber_pass,Veber_viol,RotBonds,TPSA,TL_Oral,TL_QED,TL_BBB,TL_LogP,pred_pchembl_rf,pred_pchembl_gcn,sa_score,has_route
NC(=CN=CNC1[CH]CCC1C[O-])c1ccccc1O,0.5410159250544587,2,1,0.3333333333333333,True,,273.336,0.6103900000000004,3,4,True,,5,93.7,green,yellow,yellow,green,5.804550020217896,6.857846260070801,4.833044820144977,True
C=CC(N)=CC=Cc1nccc(=O)n1CCC,0.7844161132981838,1,1,0.23076923076923078,True,,231.29899999999995,1.6951,1,4,True,,5,60.91,green,green,green,green,6.833694143851599,6.57325553894043,3.4296606898601967,False
CSC=CC=CC=CN=CC1=C2NC2C(C)(O)C=CC=C(C(C)(C)C)C1,0.41048021115478883,2,0,0.4090909090909091,True,,370.5620000000001,4.9131000000000045,2,4,True,,5,54.53,green,yellow,green,green,5.24734799747467,7.834185600280762,5.660919682302551,True
COC=CC1=C(OC=C2C=NN=C2)C2=CC(CCC=CC3=CCC(F)C=C3)N3CCNCC3=NN(C=CC=CN1)C=C2,0.4062910829128936,5,0,0.28125,True,MW>500,569.6850000000003,4.8632000000000035,2,9,True,,8,86.08,green,yellow,green,green,6.231119997024536,8.26110553741455,6.93642024866623,False
C[O-],0.3343868702191581,0,0,1.0,True,,31.034,-1.0235,0,1,True,,0,23.06,green,yellow,green,yellow,5.14784003162384,2.1293344497680664,3.933214072795546,False
CC=CC=CC(=O)NC=CC=COCC=CN,0.30513359040666016,0,0,0.15384615384615385,True,,234.299,1.7512999999999999,2,3,True,,7,64.35,green,yellow,green,green,5.7682766833305354,6.673135280609131,4.063543504917479,True
O=C(NC1CC1)C1=CCNC=C2C(=C1)C(=O)NN=CNC13CCCOC1N=CC=CN23,0.49484999829207615,5,0,0.42857142857142855,True,,423.4770000000002,-0.04199999999999826,4,8,True,,2,119.45,green,yellow,yellow,green,6.802457504590353,8.357792854309082,6.013543890437571,True
Cc1ccc(O)cc1CF,0.6333875659451441,1,1,0.25,True,,140.15699999999998,2.17012,1,1,True,,1,20.23,green,green,green,green,6.406976639827093,6.700962543487549,2.1575770589832057,False
[CH]C1C=CNN=CN(CCCCl)C(C)=CCN1,0.7511310137708538,1,0,0.5,True,,254.765,1.5505900000000001,2,4,True,,3,39.660000000000004,green,green,green,green,5.6335800189971925,7.566810607910156,5.380828492910043,True
CC(F)=CC=C1c2[nH]cc3c(cn(Cl)c21)CNCOC=CC1(C=CC=N1)N[SH]3F,0.5024432016150938,4,1,0.21052631578947367,True,,439.91900000000004,4.238000000000003,4,5,True,,1,66.37,green,yellow,green,green,6.167034995317459,7.298013687133789,6.850641734862423,False
