smiles,vina_score
CNC1C2=NC(=CC=COC=CC=NC3=Nc4cccc(n4)N3)NC(=O)NC=CC=COC1C=CNC(C=COC)CO2,-6.955
CC1CCCCc2ccnc(c2)NC(C=N)=CC=C1NC1C=CN=CNC1(C)C,-5.533
CC=C1C=CCC2=NC(Nc3ccnc(N4CCOCC4)c3)N=CC2=CCCN=CN=CNC=C1,-6.994
Nc1c2ccnc1NC1=C3CCCC(=NC([C@@H](CNCCNc4ccccc4)NC[SH]4C=C[Se]C[S+]4)=CC=C3C=N1)O2,-7.851
CC[C@H](C)Nc1cc(OC=CC(C(N)=O)[C@@H]2CCCOCCN3C(C2)C2=CN(C=CC=N2)C3CO)ccn1,-8.166
C=CC=c1cc2nc(ccc3cc1c(N(C)CC)nc3C=CC=C(F)F)OC[C@H](O)CNC2,-4.01
CC(=O)OC=CC=CCNC=CC1Nc2ncccc2-c2ccc1nc2,-9.12
[CH]CCOC=NC=CCNC(F)C(=O)CNc1ccccn1,-8.931
CC1=C2C=CC3=C1C(=NC=Cc1ncc[nH]1)C=CC=NC23,-7.387
CNC(=O)CN[C@@H](C)NC=NC=CC=CC(=CC=CC=NCNc1cccc(C)n1)c1ccc(F)cc1,-8.749
CCC=CCCc1nc[nH]c1C=CNN=C1CCOC2=CNC1C=C2,-8.845
C=C1CNc2c(ccnc2N)C(=CC=CF)C=CC1c1ccc(F)cc1,-7.142
Cc1cccc(NC(=O)NC=CC=CC(Cl)N2C=CC=CN2)n1,-7.02
CC1COCCN1c1ccc(=O)n(CN=CC=CNCC=C(C=CNC(=O)NC2=CC=C[C@H](C)C2)C(C)(C)C)c1N,-7.921
COCCCNC=CC=C(C)CC(=O)NCCNC=Cc1nc(N)c(Br)cc1F,-6.712
Clc1cccc(Cl)c1-c1c[nH]cn1,-7.208
CCN1C=C(NC(=O)CCCN)C=CNC=NC=CNCC=CNC(=O)NC=CC=COc2cccc1n2,-6.674
CC(C)(C)C1=CC(Nc2ccc(F)cn2)C=CCCN1,-8.439
C=CC=CC=CCOCC=CC=CNc1cccnc1NC=O,-8.251
CC1(C)C=CC=CN2N=C1Cc1ccc3ncnn3c1N1C=CC21,-8.304
